Variant;Stmt;FaultType
Hard;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23;Countermeasure Activated
Hard;22;Other
Manual Hard;2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23;Countermeasure Activated
Manual Hard;22;Other
Normal;1,2,3,5,6,8,9,10,11;Other
SC;0,4,7,12;Normal Execution
SC;1,2,3,5,6,8,9,10,11;Other
VD;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23;Countermeasure Activated
VD;22;Other
